CPT_CODE,DESCRIPTION,NON_FACILITY_PRICE,FACILITY_PRICE,SOURCE
0290T,Laser inc for pkp/lkp recip,0.0,0.0,master
0295T,Ext ecg complete,0.0,0.0,master
0296T,Ext ecg recording,0.0,0.0,master
0297T,Ext ecg scan w/report,0.0,0.0,master
0298T,Ext ecg review and interp,0.0,0.0,master
0308T,Insj ocular telescope prosth,0.0,0.0,cms_pfs
0312T,Laps impltj nstim vagus,0.0,0.0,master
0313T,Laps rmvl nstim array vagus,0.0,0.0,master
0314T,Laps rmvl vgl arry&pls gen,0.0,0.0,master
0315T,Rmvl vagus nerve pls gen,0.0,0.0,master
0316T,Replc vagus nerve pls gen,0.0,0.0,master
0317T,Elec alys vagus nrv pls gen,0.0,0.0,master
0329T,Mntr io press 24hrs/> uni/bi,0.0,299.52,cms_pfs
0330T,Tear film img uni/bi w/i&r,0.0,299.52,cms_pfs
0331T,Heart symp image plnr,0.0,299.52,cms_pfs
0332T,Heart symp image plnr spect,0.0,299.52,cms_pfs
0333T,Visual ep scr acuity auto,0.0,299.52,cms_pfs
0335T,Insj sinus tarsi implant,0.0,299.52,cms_pfs
0338T,Trnscth renal symp denrv unl,0.0,299.52,cms_pfs
0339T,Trnscth renal symp denrv bil,0.0,299.52,cms_pfs
0342T,Thxp apheresis w/hdl delip,0.0,299.52,cms_pfs
0345T,Transcath mtral vlve repair,0.0,299.52,cms_pfs
0347T,Ins bone device for rsa,0.0,299.52,cms_pfs
0348T,Rsa spine exam,0.0,299.52,cms_pfs
0349T,Rsa upper extr exam,0.0,299.52,cms_pfs
0350T,Rsa lower extr exam,0.0,299.52,cms_pfs
0351T,Intraop oct brst/node spec,0.0,299.52,cms_pfs
