cpt_code,description,NON_FACILITY_PRICE,FACILITY_PRICE
0431T,Rmvl/rplc nstim apnea pls gn,0.0,0.0
0432T,Repos nstim apnea stimj ld,0.0,0.0
0433T,Repos nstim apnea sensing ld,0.0,0.0
0434T,Interro eval npgs apnea,0.0,0.0
0435T,Prgrmg eval npgs apnea 1 ses,0.0,0.0
0436T,Prgrmg eval npgs apnea study,0.0,0.0
0437T,Impltj synth rnfcmt abdl wal,0.0,0.0
0439T,Myocrd contrast prfuj echo,0.0,0.0
0440T,Abltj perc uxtr/perph nrv,0.0,0.0
0441T,Abltj perc lxtr/perph nrv,0.0,0.0
0442T,Abltj perc plex/trncl nrv,0.0,0.0
0443T,R-t spctrl alys prst8 tiss,0.0,0.0
0444T,1st plmt drug elut oc ins,0.0,0.0
0445T,Sbsqt plmt drug elut oc ins,0.0,0.0
0446T,Insj impltbl glucose sensor,56.24,0.0
0447T,Rmvl impltbl glucose sensor,65.23,0.0
0448T,Remvl insj impltbl gluc sens,93.52,0.0
0449T,Insj aqueous drain dev 1st,0.0,299.52
0450T,Insj aqueous drain dev each,0.0,299.52
0451T,Insj/rplcmt aortic ventr sys,0.0,299.52
0452T,Insj/rplcmt dev vasc seal,0.0,299.52
0453T,Insj/rplcmt mech-elec ntrfce,0.0,299.52
0454T,Insj/rplcmt subq electrode,0.0,299.52
0455T,Remvl aortic ventr cmpl sys,0.0,299.52
0456T,Remvl aortic dev vasc seal,0.0,299.52
0457T,Remvl mech-elec skin ntrfce,0.0,299.52
0458T,Remvl subq electrode,0.0,299.52
0459T,Relocaj rplcmt aortic ventr,0.0,299.52
0460T,Repos aortic ventr dev eltrd,0.0,299.52
0461T,Repos aortic contrpulsj dev,0.0,299.52
0462T,Prgrmg eval aortic ventr sys,0.0,299.52
0463T,Interrog aortic ventr sys,0.0,299.52
0464T,Visual ep test for glaucoma,0.0,299.52
0465T,Supchrdl njx rx w/o supply,0.0,299.52
0466T,Insj ch wal respir eltrd/ra,0.0,299.52
